model-1604203592,1604203597.758,0.63,0.2182,0.65,0.2224
model-1604203592,1604203597.815,0.64,0.2296,0.62,0.2225
model-1604203592,1604203597.87,0.57,0.2382,0.62,0.2222
model-1604203592,1604203597.929,0.56,0.2542,0.64,0.2225
model-1604203592,1604203597.984,0.66,0.2248,0.62,0.2299
model-1604203592,1604203598.045,0.66,0.2186,0.55,0.2568
model-1604203592,1604203598.097,0.59,0.2325,0.52,0.2715
model-1604203592,1604203598.161,0.61,0.2382,0.56,0.2609
model-1604203592,1604203598.222,0.64,0.22,0.55,0.2438
model-1604203592,1604203598.292,0.56,0.2485,0.62,0.2295
model-1604203592,1604203598.346,0.69,0.2153,0.62,0.2266
model-1604203592,1604203598.404,0.64,0.2263,0.62,0.2306
model-1604203592,1604203598.458,0.63,0.2334,0.62,0.2333
model-1604203592,1604203598.522,0.63,0.2328,0.6,0.2312
model-1604203592,1604203598.582,0.67,0.2178,0.62,0.2294
model-1604203592,1604203598.642,0.6,0.2409,0.64,0.2273
model-1604203592,1604203598.699,0.61,0.2425,0.66,0.2282
model-1604203592,1604203598.756,0.61,0.2314,0.6,0.232
model-1604203592,1604203598.809,0.58,0.2409,0.58,0.233
model-1604203592,1604203598.867,0.57,0.2303,0.58,0.2314
model-1604203592,1604203598.92,0.59,0.2282,0.61,0.2283
model-1604203592,1604203598.98,0.56,0.2404,0.62,0.2267
model-1604203592,1604203599.033,0.62,0.2333,0.6,0.2262
model-1604203592,1604203599.096,0.63,0.2215,0.61,0.2257
model-1604203592,1604203599.155,0.62,0.2288,0.62,0.2248
model-1604203592,1604203599.217,0.66,0.232,0.62,0.2241
model-1604203592,1604203599.27,0.67,0.2194,0.64,0.2259
model-1604203592,1604203599.327,0.67,0.2265,0.64,0.2281
model-1604203592,1604203599.38,0.6,0.2351,0.61,0.2308
model-1604203592,1604203599.439,0.65,0.2095,0.58,0.2332
model-1604203592,1604203599.493,0.67,0.2168,0.58,0.2325
model-1604203592,1604203599.553,0.66,0.2143,0.56,0.2345
model-1604203592,1604203599.609,0.57,0.2488,0.58,0.2366
model-1604203592,1604203599.666,0.63,0.2304,0.56,0.2333
model-1604203592,1604203599.721,0.67,0.2071,0.58,0.2379
model-1604203592,1604203599.779,0.58,0.2289,0.56,0.2327
model-1604203592,1604203599.833,0.63,0.2242,0.62,0.2231
model-1604203592,1604203599.89,0.65,0.2199,0.65,0.2256
model-1604203592,1604203599.942,0.53,0.2745,0.66,0.2219
model-1604203592,1604203599.997,0.56,0.2519,0.66,0.216
model-1604203592,1604203600.053,0.6,0.2262,0.67,0.2162
model-1604203592,1604203600.118,0.67,0.2148,0.64,0.2267
model-1604203592,1604203600.178,0.61,0.2286,0.58,0.2342
model-1604203592,1604203600.237,0.6,0.2328,0.6,0.2316
model-1604203592,1604203600.297,0.56,0.2412,0.69,0.2244
model-1604203592,1604203600.357,0.61,0.2412,0.68,0.221
model-1604203592,1604203600.418,0.64,0.234,0.63,0.2206
model-1604203592,1604203600.481,0.66,0.2231,0.68,0.2217
model-1604203592,1604203600.538,0.61,0.2372,0.67,0.2221
model-1604203592,1604203600.626,0.59,0.2532,0.68,0.2209
model-1604203592,1604203600.7,0.7,0.2246,0.68,0.2201
model-1604203592,1604203600.761,0.67,0.2229,0.66,0.2203
model-1604203592,1604203600.825,0.6,0.2295,0.65,0.2217
model-1604203592,1604203600.89,0.59,0.2358,0.63,0.2226
model-1604203592,1604203600.947,0.61,0.2255,0.62,0.2219
model-1604203592,1604203601.002,0.63,0.234,0.62,0.2207
model-1604203592,1604203601.061,0.67,0.22,0.66,0.217
model-1604203592,1604203601.116,0.71,0.2135,0.66,0.2182
model-1604203592,1604203601.169,0.69,0.2089,0.62,0.2198
model-1604203592,1604203601.227,0.66,0.2287,0.59,0.2251
